items	ioTime	cpuTime	lockTime	total
217819	7.728592e+01	2.896530e+01	1.608000e+00	1.093497e+02
217820	8.011758e+01	3.219922e+01	1.417971e+00	1.150895e+02
217819	8.419605e+01	3.369400e+01	1.445225e+00	1.205998e+02
163364	1.191824e+02	2.683575e+01	1.308094e+00	1.485179e+02
163365	7.910602e+01	3.160739e+01	1.131759e+00	1.128523e+02
163365	8.231381e+01	3.253115e+01	1.030798e+00	1.170220e+02
163364	8.772432e+01	3.310564e+01	1.057537e+00	1.228713e+02
130691	1.161091e+02	2.367578e+01	9.239200e-01	1.417507e+02
130691	1.147760e+02	2.529410e+01	9.528000e-01	1.420187e+02
130692	7.941222e+01	2.700613e+01	1.112542e+00	1.084708e+02
130692	7.984840e+01	2.653031e+01	9.378270e-01	1.082536e+02
130692	8.025542e+01	2.529699e+01	8.599030e-01	1.073086e+02
108910	9.591120e+01	2.263868e+01	1.819148e+00	1.212405e+02
108909	9.452244e+01	2.271709e+01	9.715100e-01	1.191810e+02
108909	9.412723e+01	2.246819e+01	9.849910e-01	1.184290e+02
108910	1.016518e+02	2.481702e+01	8.413070e-01	1.280781e+02
108910	1.007872e+02	2.505148e+01	8.036270e-01	1.275273e+02
108910	9.920126e+01	2.801996e+01	8.035920e-01	1.287979e+02
 93351	8.583619e+01	1.525842e+01	7.405070e-01	1.025070e+02
 93351	8.456783e+01	1.508595e+01	1.101698e+00	1.018828e+02
 93351	8.358275e+01	1.770685e+01	7.446860e-01	1.029276e+02
 93351	8.375104e+01	1.503580e+01	1.210035e+00	1.006252e+02
 93351	7.677232e+01	1.802840e+01	7.646030e-01	9.621306e+01
 93351	8.096013e+01	1.841811e+01	7.207170e-01	1.008317e+02
 93352	7.983810e+01	1.873582e+01	6.647310e-01	9.986912e+01
 81682	1.006323e+02	1.425968e+01	7.486450e-01	1.162847e+02
 81682	8.966545e+01	1.282892e+01	1.220445e+00	1.044239e+02
 81682	8.473035e+01	1.589867e+01	1.207692e+00	1.026680e+02
 81682	8.724277e+01	1.309517e+01	7.354140e-01	1.016112e+02
 81682	8.840205e+01	1.271135e+01	7.139270e-01	1.028021e+02
 81682	7.999640e+01	1.706353e+01	6.360080e-01	9.831911e+01
 81683	8.108332e+01	1.791308e+01	6.497220e-01	1.002400e+02
 81683	8.089677e+01	1.813597e+01	6.579610e-01	1.002774e+02
 72606	9.466072e+01	1.203300e+01	5.624440e-01	1.077037e+02
 72606	9.408074e+01	1.211914e+01	1.534842e+00	1.084371e+02
 72606	8.143548e+01	1.259400e+01	7.922200e-01	9.586059e+01
 72607	8.409051e+01	1.300257e+01	8.615810e-01	9.855289e+01
 72606	8.277037e+01	1.372388e+01	6.686380e-01	9.791431e+01
 72606	7.941890e+01	1.222208e+01	5.323820e-01	9.266037e+01
 72607	7.478888e+01	1.357570e+01	5.752130e-01	8.945320e+01
 72607	7.010210e+01	1.398808e+01	5.736900e-01	8.529465e+01
 72607	7.466618e+01	1.379125e+01	5.327740e-01	8.951020e+01
 65345	8.643754e+01	1.238390e+01	9.166680e-01	1.002893e+02
 65346	7.476655e+01	1.281616e+01	7.375930e-01	8.887891e+01
 65345	8.695948e+01	1.150761e+01	5.875170e-01	9.949774e+01
 65346	7.748362e+01	1.365505e+01	7.050690e-01	9.254864e+01
 65346	8.680683e+01	1.225258e+01	1.426628e+00	1.009587e+02
 65346	7.663598e+01	1.245954e+01	6.152710e-01	9.023938e+01
 65346	7.849916e+01	1.069698e+01	4.245510e-01	9.008210e+01
 65346	8.610180e+01	1.778819e+01	5.308090e-01	1.049278e+02
 65346	8.884967e+01	1.918188e+01	6.001350e-01	1.090445e+02
 65346	8.835048e+01	1.876182e+01	5.298950e-01	1.081592e+02
 59405	8.073076e+01	8.959243e+00	1.058137e+00	9.118368e+01
 59405	8.156278e+01	9.527368e+00	4.560670e-01	9.193682e+01
 59405	7.895332e+01	1.191251e+01	4.330390e-01	9.178849e+01
 59405	7.835022e+01	1.136124e+01	6.988400e-01	9.106611e+01
 59405	7.949313e+01	1.078432e+01	6.050180e-01	9.140268e+01
 59405	8.475219e+01	8.195713e+00	3.168360e-01	9.365176e+01
 59405	7.898101e+01	1.154830e+01	1.519823e+00	9.275696e+01
 59405	7.854357e+01	1.203380e+01	7.628990e-01	9.185368e+01
 59406	8.522760e+01	1.725074e+01	4.594770e-01	1.033332e+02
 59406	8.863547e+01	1.783910e+01	4.227810e-01	1.073306e+02
 59406	8.789781e+01	1.846522e+01	5.802690e-01	1.073791e+02
